EventName,Used
StageChangeIn convo NeutralNurture,
StageChangeIn convo NeutralReactivated,
StageChangeIn convo NeutralUnqualified,
StageChangeIn convo WarmApp Expected,
StageChangeIn convo WarmApplied,
StageChangeIn convo WarmContact Attempted-Connected,
StageChangeIn convo WarmContact Attempted-Not Connected,
StageChangeIn convo WarmCustomer,
StageChangeIn convo WarmDefault,
StageChangeIn convo WarmFuture Batches,
StageChangeIn convo WarmIn convo Neutral,
StageChangeIn convo WarmMarketing Acquired,
StageChangeIn convo WarmMarketing Qualified,
StageChangeIn convo WarmNew,
StageChangeIn convo WarmNurture,
StageChangeIn convo WarmReactivated,
StageChangeIn convo WarmUnqualified,
StageChangeMarketing AcquiredApp Expected,
StageChangeMarketing AcquiredApplied,
StageChangeMarketing AcquiredContact Attempted-Connected,
StageChangeMarketing AcquiredContact Attempted-Not Connected,
StageChangeMarketing AcquiredCustomer,
StageChangeMarketing AcquiredDefault,
StageChangeMarketing AcquiredFuture Batches,
StageChangeMarketing AcquiredIn convo Neutral,
StageChangeMarketing AcquiredIn convo Warm,
StageChangeMarketing AcquiredMarketing Qualified,
StageChangeMarketing AcquiredNew,
StageChangeMarketing AcquiredNurture,
StageChangeMarketing AcquiredReactivated,
StageChangeMarketing AcquiredUnqualified,
StageChangeMarketing QualifiedApp Expected,
StageChangeMarketing QualifiedApplied,
StageChangeMarketing QualifiedContact Attempted-Connected,
StageChangeMarketing QualifiedContact Attempted-Not Connected,
StageChangeMarketing QualifiedCustomer,
StageChangeMarketing QualifiedDefault,
StageChangeMarketing QualifiedFuture Batches,
StageChangeMarketing QualifiedIn convo Neutral,
StageChangeMarketing QualifiedIn convo Warm,
StageChangeMarketing QualifiedMarketing Acquired,
StageChangeMarketing QualifiedNew,
StageChangeMarketing QualifiedNurture,
StageChangeMarketing QualifiedReactivated,
StageChangeMarketing QualifiedUnqualified,
StageChangeNewApp Expected,
StageChangeNewApplied,
StageChangeNewContact Attempted-Connected,
StageChangeNewContact Attempted-Not Connected,
StageChangeNewCustomer,
StageChangeNewDefault,
StageChangeNewFuture Batches,
StageChangeNewIn convo Neutral,
StageChangeNewIn convo Warm,
StageChangeNewMarketing Acquired,
StageChangeNewMarketing Qualified,
StageChangeNewNurture,
StageChangeNewReactivated,
StageChangeNewUnqualified,
StageChangeNurtureApp Expected,
StageChangeNurtureApplied,
StageChangeNurtureContact Attempted-Connected,
StageChangeNurtureContact Attempted-Not Connected,
StageChangeNurtureCustomer,
StageChangeNurtureDefault,
StageChangeNurtureFuture Batches,
StageChangeNurtureIn convo Neutral,
StageChangeNurtureIn convo Warm,
StageChangeNurtureMarketing Acquired,
StageChangeNurtureMarketing Qualified,
StageChangeNurtureNew,
StageChangeNurtureReactivated,
StageChangeNurtureUnqualified,
StageChangeProspectApplied,
StageChangeProspectCustomer,
StageChangeProspectDefault,
StageChangeProspectMarketing Acquired,
StageChangeProspectMarketing Qualified,
StageChangeProspectNew,
StageChangeProspectNurture,
StageChangeReactivatedApp Expected,
StageChangeReactivatedApplied,
StageChangeReactivatedContact Attempted-Connected,
StageChangeReactivatedContact Attempted-Not Connected,
StageChangeReactivatedCustomer,
StageChangeReactivatedDefault,
StageChangeReactivatedFuture Batches,
StageChangeReactivatedIn convo Neutral,
StageChangeReactivatedIn convo Warm,
StageChangeReactivatedMarketing Acquired,
StageChangeReactivatedMarketing Qualified,
StageChangeReactivatedNew,
StageChangeReactivatedNurture,
StageChangeReactivatedUnqualified,
StageChangeUnqualifiedApp Expected,
StageChangeUnqualifiedApplied,
StageChangeUnqualifiedContact Attempted-Connected,
StageChangeUnqualifiedContact Attempted-Not Connected,
StageChangeUnqualifiedCustomer,
